# First word is wrong full term, other is correct abbrevations to build helpfull error message.
address,addr
addresses,addrs
affinity,aff
argument,arg
arguments,args
array,arr
attribute,attr
attributes,attrs
buffer,buf
class,cls
command,cmd
commands,cmds
config,cfg
context,ctx
contexts,ctxs
count,cnt
current,cur
database,db
default,dflt
destination,dest
directory,dir
event,evt
events,evts
exception,e,e2,ex
execute,exec
frequency,freq
future,fut
group,grp
groups,grps
handler,hnd
header,hdr
implementation,impl
index,idx
initial,init
initialize,init
iterator,iter
label,lbl
local,loc
logger,log
loader,ldr
manager,mgr
message,msg
messages,msgs
mutex,mux
network,net
object,obj
package,pkg
parameter,param
password,pwd
policy,plc
property,prop
properties,props
process,proc
processor,proc
query,qry
receive,rcv
reference,ref
#regularexpression,regex
repository,repo
request,req
resource,rsrc
response,res
returnValue,retVal
sender,snd
service,srvc
session,ses
sequence,seq
socket,sock
source,src
string,s,str
subject,subj
system,sys
topology,top
#topologyversion,topVer
value,val
version,ver
